Members Expense Disclosure - April to June 2019,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,,Grand Total,Inter-Parliamentary
,"Carter, David","8,323",530,"13,676","6,986",-,"29,515","14,354"
,"Scott, Alastair",-,479,"4,751","7,070",-,"12,299",-
,"Smith, Stuart","8,323","1,430","10,286","6,630",-,"26,669",-
,"Smith, Nick","8,323",902,"7,756","9,684",-,"26,664","19,615"
,"Simpson, Scott","7,406","1,545","6,739","10,417",-,"26,107",-
,"Stanford, Erica","8,323",564,"8,996","6,705",-,"24,588",-
,"Tolley, Anne (1) (5)","12,082",671,"4,559","2,013","4,558","23,884","14,962"
,"Upston, Louise","8,323",676,"13,856","11,528",-,"34,383","17,527"
,"Wagner, Nicky","8,323",770,"7,276","2,586",-,"18,955","20,034"
,"van de Molen, Tim","8,323","1,372","5,260","7,117",-,"22,073","17,620"
,"Walker, Hamish","8,323","3,373","7,607","10,248",-,"29,552","15,535"
,"Willis, Nicola",-,422,"1,620","3,588",-,"5,630",-
,"Woodhouse, Michael","8,323",670,"4,814","8,954",-,"22,761",-
,"Young, Jonathan","8,323","1,218","6,850","5,805",-,"22,196",-
,"Yang, Jian","5,763",251,"3,560","5,948",-,"15,523",-
,"Yule, Lawrence","3,661",-,"8,619","5,760",-,"18,040",-
National Total,,"397,687","60,020","402,634","415,015","17,768","1,293,124","135,367"
,,,,,,,,,
New Zealand First,"Ball, Darroch","4,994","1,696","3,523","5,443",-,"15,656",-
,"Jones, Shane",-,-,-,-,-,-,-
,"Marcroft, Jenny (6)","8,738","1,226","5,605","7,133",-,"22,702",-
,"Mark, Ron",-,-,-,-,-,-,-
,"Martin, Tracey",-,-,-,-,-,-,-
,"Mitchell, Clayton","5,826",388,"4,585","6,006",-,"16,804",691
,"Peters, Winston",-,-,-,-,-,-,-
,"Patterson, Mark","8,323","2,160","12,702","11,459",-,"34,645",-
,"Tabuteau, Fletcher",-,-,-,-,-,-,-
New Zealand First Total,,"27,881","5,469","26,415","30,041",-,"89,806",691
,,,,,,,,,
Grand Total,,"625,264","96,119","650,302","634,654","19,054","2,025,392","260,966"

"1) The Speaker, Deputy Speaker, and Leader of the Opposition are eligible for VIP Transport services. This transport service is invoiced to Parliamentary Service at a rate of $171 per hour and disclosed at this rate. VIP Transport for Ministers is charged at $68 per hour and disclosed at that rate. Contractors used by Parliamentary Service and Ministerial Services for transporting eligible members/Ministers are disclosed at the rate charged by the contractor. The variable hourly rates reflect Parliamentary Service's lower usage level and a different charging regime. ",,,,,,,,
2) The disclosure amount for VIP Transport if calculated using Ministerial Services' methodology would be $497.,,,,,,,,
3) Michael Wood's Air Travel includes international travel costs that were met partly by the Leaders Office.,,,,,,,,
"4) The disclosure amount for VIP Transport if calculated using Ministerial Services' methodology would be $6,412.",,,,,,,,
"5) The disclosure amount for VIP Transport if calculated using Ministerial Services' methodology would be $2,968.",,,,,,,,
6) Wellington Accommodation for Jenny Marcroft includes hotel charges relating to the prior disclosure period. In the current period the member receives the accomodation allowance. ,,,,,,,,
