Members Expense Disclosure - 1 October to 31 December 2018,,,,,,,,
Party,Member,Accommodation,,Travel,,,Grand Total,Inter-Parliamentary
,"King, Matt","8,323",491,"10,999","3,715",                          -,"23,529","6,957"
,"Korako, Nuk","8,323",148,"5,125","5,685",                          -,"19,281",                                       -
,"Kuriger, Barbara","5,826",647,"7,328","7,316",                          -,"21,117",                                       -
,"Lee, Denise","4,657",                               -,"5,900","6,166",                          -,"16,723",354
,"Lee, Melissa","8,323",176,"7,554","8,528",                          -,"24,582",                                       -
,"Macindoe, Tim","3,342",70,"20,765","3,969",                          -,"28,146",                                       -
,"McClay, Todd","8,323","1,141","7,244","7,712",                          -,"24,420",                                       -
,"McKelvie, Ian","8,323","1,801","5,406","7,939",                          -,"23,469",                                       -
,"Mitchell, Mark","8,323",152,"7,436","7,309",                          -,"23,219",                                       -
,"Muller, Todd","6,509","2,187","5,125","6,911",                          -,"20,732",                                       -
,"Ngaro, Alfred","8,323",                               -,"9,834","6,796",                          -,"24,954","3,259"
,"O'Connor, Simon","8,323",201,"8,546","3,618",                          -,"20,689",                                       -
,"Parmar, Parmjeet","8,323",                               -,"4,494","6,709",                          -,"19,526",                                       -
,"Pugh, Maureen (6)","10,564","2,053","6,463","6,633",                          -,"25,713","4,924"
,"Penk, Chris","8,323",                               -,"6,021","1,948",                          -,"16,292",                                       -
,"Reti, Shane","8,323",609,"10,109","8,072",                          -,"27,113",                                       -
,"Carter, David","8,323",350,"12,570","4,765",                          -,"26,009","20,972"
,"Ross, Jami-Lee (7)","2,378",                               -,                          -,"5,204",                          -,"7,582",                                       -
,"Scott, Alastair",                                -,"1,450","3,428","4,203",                          -,"9,080",                                       -
,"Smith, Stuart","8,323","1,786","7,429","5,338",                          -,"22,876","7,118"
,"Smith, Nick","8,323",982,"11,996","7,636",                          -,"28,936",                                       -
,"Simpson, Scott","3,517","2,282","5,442","10,684",                          -,"21,925",                                       -
,"Stanford, Erica","8,323",                               -,"8,462","9,116",                          -,"25,901",                                       -
,"Tolley, Anne (1) (8)","12,082",186,"5,900",631,"9,105","27,904","32,538"
,"Upston, Louise","8,323","1,544","12,038","10,789",                          -,"32,695","6,874"
,"Wagner, Nicky","8,323",976,"10,378","2,964",                          -,"22,642",                                       -
,"van de Molen, Tim","8,323",517,"4,361","4,015",                          -,"17,217","17,192"
,"Walker, Hamish","8,323","3,998","9,793","11,056",                          -,"33,170","12,721"
,"Willis, Nicola",                                -,132,"4,517","4,007",                          -,"8,657",                                       -
,"Woodhouse, Michael","8,323","1,037","8,639","5,182",                          -,"23,181",                                       -
,"Young, Jonathan","8,323",178,"5,983","4,783",                          -,"19,267",                                       -
,"Yang, Jian","4,624",168,"3,917","5,343",                          -,"14,051",                                       -
,"Yule, Lawrence","2,071",616,"7,227","4,335",                          -,"14,249","11,614"
National Total,,"387,448","46,281","399,340","342,440","22,860","1,198,370","135,562"
,,,,,,,,,
New Zealand First,"Ball, Darroch","5,257","1,138","1,643","4,323",                          -,"12,361",                                       -
,"Jones, Shane",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Marcroft, Jenny","5,870",481,"4,806","5,689",                          -,"16,845","16,666"
,"Mark, Ron",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Martin, Tracey",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Mitchell, Clayton","5,826",187,"4,512","4,694",                          -,"15,219",603
,"Peters, Winston",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
,"Patterson, Mark","8,323",350,"12,481","6,997",                          -,"28,151",                                       -
,"Tabuteau, Fletcher",                                -,                               -,                          -,                          -,                          -,                          -,                                       -
New Zealand First Total,,"25,276","2,155","23,442","21,703",                        -   ,"72,576","17,269"
,,,,,,,,,
Grand Total,,"601,960","75,735","641,534","490,241","22,903","1,832,373","232,121"

"1) The Speaker, Deputy Speaker, and Leader of the Opposition are eligible for VIP Transport services. This service is invoiced to Parliamentary Service at a rate of $171 per hour and disclosed at this rate. VIP Transport for Ministers is charged at $68 per hour and disclosed at that rate by Ministerial Services. Parliamentary Service is charged a higher hourly rate for VIP Transport due to lower usage levels and a different charging regime. 
Transport contractors used by Parliamentary Service and Ministerial Services for transporting eligible Members/Ministers are disclosed at the rate charged by the contractor. ",,,,,,,,
2) The disclosure amount for VIP Transport if calculated using Ministerial Services' methodology would be $17 ,,,,,,,,
3) Wellington Accommodation for Maggie Barry includes accommodation allowance back payment from prior quarters when entitlement to the full accommodation allowance came into effect.,,,,,,,,
"4) The quarter 1 disclosure included costs for international travel that were refunded in the current disclosure period, the travel was not undertaken.",,,,,,,,
"5) The disclosure amount for VIP Transport if calculated using Ministerial Services' methodology would be $8,236.",,,,,,,,
6) Wellington Accommodation for Maureen Pugh includes hotel charges relating to the prior disclosure period. In the current period the member received the accommodation allowance. ,,,,,,,,
7) These costs are for the period when Jami-Lee Ross was a member of the National Party. Some of these costs are related to prior periods and are included in this disclosure due to delayed expense claims.,,,,,,,,
"8) The disclosure amount for VIP Transport if calculated using Ministerial Services' methodology would be $5,834.",,,,,,,,
