Members Expense Disclosure - October to December 2014,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,
, Tolley Anne , - , - ," 2,583 ", - ," 2,583 ",-,
, Upston Louise ," 1,304 ", - ," 3,383 "," 4,010 "," 8,697 ","2,197",
, Wagner Nicky , - , - , 730 , - , 730 ,-,
, Williamson Maurice ," 7,595 ", - ," 3,876 "," 7,083 "," 18,554 ",-,
, Woodhouse Michael , - , - ," 1,183 ", - ," 1,183 ",-,
, Yang Jian ," 5,332 ", 471 ," 6,282 "," 4,108 "," 16,194 ",-,
, Young Jonathan ," 5,078 ", - ," 5,102 "," 3,439 "," 13,619 ",-,
National Total,," 181,645 "," 8,854 "," 232,422 "," 138,001 "," 560,921 ","65,674",
New Zealand First,Ball Darroch," 4,311 ", - ," 6,472 "," 1,159 "," 11,941 ",-,
,Bindra Mahesh," 2,634 ", - ," 6,611 "," 2,452 "," 11,698 ",-,
,Mark Ron," 1,097 ", 273 ," 2,224 "," 2,932 "," 6,526 ",-,
,Martin Tracey," 5,275 ", - ," 5,236 "," 8,482 "," 18,993 ",-,
,Mitchell Clayton," 5,097 ", 319 ," 12,420 "," 1,119 "," 18,955 ",-,
,O'Rourke Denis," 7,595 ", - ," 2,434 "," 1,937 "," 11,965 ",-,
,Paraone Pita," 7,384 ", 109 ," 8,440 ", 854 ," 16,786 ",-,
,Peters Winston," 1,983 ", - ," 6,023 "," 1,407 "," 9,412 ",-,
,Prosser Richard," 7,595 ", 157 ," 7,023 "," 3,763 "," 18,537 ",-,
,Stewart Barbara," 6,343 ", - ," 6,178 "," 4,129 "," 16,650 ",-,
,Tabuteau Fletcher," 2,809 ", - ," 9,261 "," 1,197 "," 13,267 ",-,
New Zealand First Total,," 52,121 ", 858 ," 72,321 "," 29,429 "," 154,729 ",-,
United Future, Dunne Peter , - , - , - , - , - ,-,
United Future Total,, - , - , - , - , - ,-,
Grand Total,," 441,001 "," 29,304 "," 665,907 "," 302,914 "," 1,439,126 ","68,114",
